"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"425","BXS.PRA",6.9,"M",NA,NA,3088,NA,76.26,NA,6900000,NA,3088
"426","BY",38.62,"M",23.56,"M",238207,NA,1.29,1.01,38620000,23560000,238207
"427","BYD",111.54,"M",80.78,"M",3.59,"M",-1.8,4.44,111540000,80780000,3590000
"428","BZH",31.25,"M",29.21,"M",1.39,"M",-0.81,4.76,31250000,29210000,1390000
"429","C",2.08,"B",2.08,"B",22.74,"M",2.33,1.09,2.08e+09,2.08e+09,22740000
"430","C.PRJ",NA,NA,NA,NA,25587,NA,24.35,NA,NA,NA,25587
"431","C.PRK",NA,NA,NA,NA,44838,NA,43.15,NA,NA,NA,44838
"432","C.PRN",NA,NA,NA,NA,29459,NA,-10.66,NA,NA,NA,29459
"433","CAAP",NA,NA,28.57,"M",504254,NA,11.54,1.76,NA,28570000,504254
"434","CABO",6.02,"M",4.78,"M",117169,NA,2.5,2.45,6020000,4780000,117169
"435","CACI",25.23,"M",24.83,"M",478909,NA,3.98,1.93,25230000,24830000,478909
"436","CADE",125.98,"M",121.98,"M",3.51,"M",-4.43,2.88,125980000,121980000,3510000
"437","CAE",282.81,"M",282.35,"M",2.42,"M",15.95,0.86,282810000,282350000,2420000
"438","CAG",488.58,"M",486.73,"M",10.76,"M",-13.82,2.21,488580000,486730000,10760000
"439","CAH",293.42,"M",292.53,"M",6.72,"M",66.25,2.3,293420000,292530000,6720000
"440","CAI",17.74,"M",16.25,"M",271849,NA,-6.61,1.67,17740000,16250000,271849
"441","CAI.PRA",2.2,"M",NA,NA,4977,NA,28.67,NA,2200000,NA,4977
"442","CAI.PRB",NA,NA,NA,NA,1702,NA,3.59,NA,NA,NA,1702
"443","CAJ",NA,NA,1.05,"B",1.23,"M",-2.42,0.12,NA,1.05e+09,1230000
"444","CAL",37.91,"M",36.11,"M",1.87,"M",-3.7,5.17,37910000,36110000,1870000
"445","CALX",62.45,"M",54.22,"M",2.68,"M",-11.39,4.94,62450000,54220000,2680000
"446","CANG",112.48,"M",78.1,"M",218417,NA,407.63,0.28,112480000,78100000,218417
"447","CAP",34.5,"M",29.88,"M",295068,NA,3399.8,0.99,34500000,29880000,295068
"448","CAP.U",34.5,"M",34.16,"M",1159,NA,-58.56,0,34500000,34160000,1159
"449","CAPL",37.02,"M",17.5,"M",38539,NA,-9.44,0.22,37020000,17500000,38539
"450","CARR",869.21,"M",868.64,"M",10.58,"M",3.34,1.22,869210000,868640000,10580000
"451","CARS",67.39,"M",65.52,"M",2.11,"M",12.73,3.22,67390000,65520000,2110000
"452","CAS",23,"M",NA,NA,61650,NA,2146.72,NA,2.3e+07,NA,61650
"453","CAT",545.3,"M",544.3,"M",5.29,"M",18.53,0.97,545300000,544300000,5290000
"454","CATO",21.17,"M",19.56,"M",1.05,"M",3.01,5.39,21170000,19560000,1050000
"455","CB",451.37,"M",448.57,"M",3.17,"M",7.82,0.71,451370000,448570000,3170000
"456","CBAH.U",35,"M",NA,NA,3240,NA,113.3,NA,3.5e+07,NA,3240
"457","CBB",50.68,"M",49.34,"M",5.6,"M",-12.89,11.35,50680000,49340000,5600000
"458","CBB.PRB",NA,NA,NA,NA,2838,NA,52.42,NA,NA,NA,2838
"459","CBD",268.35,"M",267.42,"M",546863,NA,58.32,0.2,268350000,267420000,546863
"460","CBRE",335.46,"M",331.76,"M",6.53,"M",5.6,1.97,335460000,331760000,6530000
"461","CBT",56.61,"M",56.15,"M",668137,NA,-16.97,1.19,56610000,56150000,668137
"462","CBU",53.59,"M",52.9,"M",1.87,"M",3.13,3.54,53590000,52900000,1870000
"463","CBZ",54.1,"M",51.67,"M",660771,NA,-0.67,1.28,54100000,51670000,660771
"464","CC",165.17,"M",163.04,"M",9.07,"M",-2.59,5.56,165170000,163040000,9070000
"465","CCAC",34.5,"M",27.55,"M",141605,NA,86.55,0.51,34500000,27550000,141605
"466","CCEP",454.81,"M",200.01,"M",1.93,"M",35.92,0.97,454810000,200010000,1930000
"467","CCI",431.31,"M",429.36,"M",4.72,"M",17.44,1.1,431310000,429360000,4720000
"468","CCIV",207,"M",206.15,"M",4.52,"M",-19.34,2.19,2.07e+08,206150000,4520000
"469","CCJ",396.86,"M",395.79,"M",14.78,"M",43.94,3.73,396860000,395790000,14780000
"470","CCK",134.76,"M",132.1,"M",1.89,"M",2.04,1.43,134760000,132100000,1890000
"471","CCL",972.94,"M",797.29,"M",61.46,"M",-12.33,7.71,972940000,797290000,61460000
"472","CCM",28.15,"M",25.32,"M",5524,NA,-49.52,0.02,28150000,25320000,5524
"473","CCO",467.28,"M",461.33,"M",21.64,"M",9.91,4.69,467280000,461330000,21640000
"474","CCS",33.35,"M",29.42,"M",2.46,"M",0.78,8.35,33350000,29420000,2460000
