"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"766","DS",67.23,"M",58.16,"M",2.9,"M",2.91,4.99,67230000,58160000,2900000
"767","DS.PRB",1.35,"M",NA,NA,6469,NA,9.85,NA,1350000,NA,6469
"768","DS.PRC",NA,NA,NA,NA,533,NA,94.53,NA,NA,NA,533
"769","DS.PRD",NA,NA,NA,NA,646,NA,-65.19,NA,NA,NA,646
"770","DSSI",39.92,"M",25.47,"M",700203,NA,-1.62,2.75,39920000,25470000,700203
"771","DSX",89.28,"M",63.82,"M",787506,NA,-0.07,1.23,89280000,63820000,787506
"772","DSX.PRB",NA,NA,NA,NA,3533,NA,136.8,NA,NA,NA,3533
"773","DT",282.1,"M",177.93,"M",9.75,"M",-5.44,5.48,282100000,177930000,9750000
"774","DTB",8,"M",NA,NA,29942,NA,22.05,NA,8e+06,NA,29942
"775","DTE",193.56,"M",192.35,"M",1.8,"M",14.17,0.94,193560000,192350000,1800000
"776","DTJ",NA,NA,NA,NA,251,NA,-92.04,NA,NA,NA,251
"777","DTLA.PR",NA,NA,NA,NA,1830,NA,-10.47,NA,NA,NA,1830
"778","DTP",NA,NA,NA,NA,149380,NA,1277.41,NA,NA,NA,149380
"779","DTW",NA,NA,NA,NA,3213,NA,-57.33,NA,NA,NA,3213
"780","DTY",NA,NA,NA,NA,4214,NA,-38.48,NA,NA,NA,4214
"781","DUK",735.43,"M",735.21,"M",6.52,"M",-0.89,0.89,735430000,735210000,6520000
"782","DUK.PRA",NA,NA,NA,NA,39673,NA,42.02,NA,NA,NA,39673
"783","DUKB",NA,NA,NA,NA,69698,NA,31.26,NA,NA,NA,69698
"784","DUKH",NA,NA,NA,NA,79224,NA,-10.3,NA,NA,NA,79224
"785","DVA",112,"M",108.46,"M",3.82,"M",-3.76,3.52,1.12e+08,108460000,3820000
"786","DVD",17.86,"M",14.86,"M",6170,NA,-54.96,0.04,17860000,14860000,6170
"787","DVN",672.29,"M",643.8,"M",20.34,"M",24.62,3.16,672290000,643800000,20340000
"788","DWIN.U",20.13,"M",NA,NA,2431,NA,154.82,NA,20130000,NA,2431
"789","DX",23.14,"M",21.92,"M",1.25,"M",-3.81,5.7,23140000,21920000,1250000
"790","DX.PRB",2.79,"M",NA,NA,1816,NA,13.36,NA,2790000,NA,1816
"791","DXC",254.41,"M",251.3,"M",5.53,"M",-11.72,2.2,254410000,251300000,5530000
"792","DY",31.91,"M",30.55,"M",1.41,"M",-2.71,4.63,31910000,30550000,1410000
"793","E",1.8,"B",1.77,"B",1.42,"M",15.24,0.08,1.8e+09,1.77e+09,1420000
"794","EAF",267.19,"M",139.41,"M",4.26,"M",-12.49,3.06,267190000,139410000,4260000
"795","EAI",NA,NA,NA,NA,1837,NA,470.5,NA,NA,NA,1837
"796","EARN",12.33,"M",8.78,"M",278855,NA,-7.86,3.18,12330000,8780000,278855
"797","EAT",45.46,"M",36.32,"M",4.92,"M",2.03,13.55,45460000,36320000,4920000
"798","EB",68.28,"M",66.62,"M",8.38,"M",-3.51,12.58,68280000,66620000,8380000
"799","EBF",26.07,"M",25.15,"M",404872,NA,-18.08,1.61,26070000,25150000,404872
"800","EBR",1.29,"B",NA,NA,1.16,"M",236.13,NA,1.29e+09,NA,1160000
"801","EBR.B",279.94,"M",NA,NA,10525,NA,-5.45,NA,279940000,NA,10525
"802","EBS",53,"M",45.15,"M",2.61,"M",-2.46,5.78,5.3e+07,45150000,2610000
"803","EC",NA,NA,NA,NA,7.43,"M",3.65,NA,NA,NA,7430000
"804","ECCB",NA,NA,NA,NA,2014,NA,-6.93,NA,NA,NA,2014
"805","ECCX",2.59,"M",NA,NA,2829,NA,-37.81,NA,2590000,NA,2829
"806","ECCY",1.16,"M",NA,NA,503,NA,-68.6,NA,1160000,NA,503
"807","ECL",285.45,"M",283.88,"M",2.08,"M",-1.55,0.73,285450000,283880000,2080000
"808","ECOM          ",28.68,"M",27.77,"M",817020,NA,-4.85,2.94,28680000,27770000,817020
"809","ED",342.12,"M",341.45,"M",7.06,"M",-19.19,2.07,342120000,341450000,7060000
"810","EDN",NA,NA,NA,NA,73452,NA,40.51,NA,NA,NA,73452
"811","EDU",170.17,"M",169.64,"M",4.13,"M",-2.54,2.44,170170000,169640000,4130000
"812","EEX",71.48,"M",23.02,"M",395167,NA,19.48,1.72,71480000,23020000,395167
"813","EFC",43.78,"M",41.64,"M",789586,NA,12.16,1.9,43780000,41640000,789586
"814","EFC.PRA",NA,NA,NA,NA,1408,NA,826.32,NA,NA,NA,1408
"815","EFX",121.64,"M",121.15,"M",1.7,"M",18.07,1.41,121640000,121150000,1700000
"816","EGHT",106.32,"M",103.32,"M",20.21,"M",-3.5,19.56,106320000,103320000,20210000
"817","EGO",174.13,"M",173.84,"M",4.36,"M",42.86,2.51,174130000,173840000,4360000
"818","EGP",39.56,"M",38.73,"M",772586,NA,-0.78,1.99,39560000,38730000,772586
"819","EGY",57.46,"M",53.77,"M",267130,NA,15.81,0.5,57460000,53770000,267130
"820","EHC",99.43,"M",97.77,"M",1.58,"M",3.39,1.62,99430000,97770000,1580000
"821","EIG",29.02,"M",28.07,"M",627401,NA,-1.28,2.24,29020000,28070000,627401
"822","EIX",378.51,"M",378.27,"M",5.22,"M",-13.42,1.38,378510000,378270000,5220000
"823","EL",226.54,"M",225.08,"M",2.01,"M",3.82,0.89,226540000,225080000,2010000
"824","ELAN",471.92,"M",452.15,"M",12.93,"M",-1.88,2.86,471920000,452150000,12930000
"825","ELAT",11,"M",NA,NA,256757,NA,28.26,NA,1.1e+07,NA,256757
"826","ELC",NA,NA,NA,NA,47851,NA,124.28,NA,NA,NA,47851
"827","ELF",51.03,"M",45.89,"M",3.97,"M",24.68,8.65,51030000,45890000,3970000
"828","ELP",128.3,"M",128.29,"M",6.13,"M",7.89,4.78,128300000,128290000,6130000
"829","ELS",182.23,"M",173.31,"M",2.32,"M",32.66,1.34,182230000,173310000,2320000
"830","ELVT",38.07,"M",16.43,"M",230356,NA,-11.34,1.4,38070000,16430000,230356
"831","ELY",94.18,"M",86.69,"M",15.86,"M",-5.42,18.3,94180000,86690000,15860000
"832","EME",54.93,"M",53.91,"M",839346,NA,-7.34,1.56,54930000,53910000,839346
"833","EMN",135.47,"M",134.63,"M",1.82,"M",16.62,1.35,135470000,134630000,1820000
"834","EMP",NA,NA,NA,NA,17617,NA,19.84,NA,NA,NA,17617
"835","EMPW",25,"M",NA,NA,162421,NA,161.59,NA,2.5e+07,NA,162421
"836","EMR",598.04,"M",593.8,"M",7.65,"M",3.83,1.29,598040000,593800000,7650000
"837","ENB",2.03,"B",2.02,"B",13.98,"M",3.22,0.69,2.03e+09,2.02e+09,13980000
"838","ENBA",NA,NA,NA,NA,16715,NA,179.84,NA,NA,NA,16715
"839","ENBL",435.47,"M",85.8,"M",3.75,"M",1.37,4.37,435470000,85800000,3750000
"840","ENIA",NA,NA,1.52,"B",1.76,"M",-31.93,0.12,NA,1.52e+09,1760000
"841","ENIC",1.38,"B",NA,NA,610395,NA,-23.51,NA,1.38e+09,NA,610395
"842","ENJ",NA,NA,NA,NA,1849,NA,-4.89,NA,NA,NA,1849
"843","ENLC",549.56,"M",315.75,"M",12.97,"M",-1.37,4.11,549560000,315750000,12970000
"844","ENO",NA,NA,NA,NA,2343,NA,-72.14,NA,NA,NA,2343
"845","ENPC",16.81,"M",NA,NA,3048,NA,-66.06,NA,16810000,NA,3048
"846","ENR",68.54,"M",63.58,"M",2.66,"M",3.06,4.19,68540000,63580000,2660000
"847","ENR.PRA",2.16,"M",NA,NA,4138,NA,-83.48,NA,2160000,NA,4138
"848","ENS",42.58,"M",41.75,"M",1.26,"M",7.92,3.01,42580000,41750000,1260000
"849","ENV",53.95,"M",50.74,"M",2.36,"M",12.53,4.66,53950000,50740000,2360000
"850","ENVA",35.67,"M",34.24,"M",1.86,"M",-2.95,5.45,35670000,34240000,1860000
"851","ENZ",47.9,"M",44.13,"M",1.97,"M",0.47,4.47,47900000,44130000,1970000
"852","EOG",582.24,"M",581.48,"M",11.35,"M",3.68,1.95,582240000,581480000,11350000
"853","EP.PRC",NA,NA,NA,NA,910,NA,-24.98,NA,NA,NA,910
"854","EPAC",59.87,"M",59.07,"M",1.77,"M",-16.08,2.99,59870000,59070000,1770000
"855","EPAM",55.99,"M",53.97,"M",607011,NA,-19.41,1.12,55990000,53970000,607011
"856","EPC",54.53,"M",54.31,"M",3.13,"M",-4.76,5.77,54530000,54310000,3130000
"857","EPD",2.18,"B",1.44,"B",34.82,"M",8.01,2.42,2.18e+09,1.44e+09,34820000
"858","EPR",74.61,"M",73.81,"M",7.2,"M",-0.72,9.76,74610000,73810000,7200000
"859","EPR.PRC",5.39,"M",NA,NA,15688,NA,8.49,NA,5390000,NA,15688
"860","EPR.PRE",NA,NA,NA,NA,24436,NA,44.45,NA,NA,NA,24436
"861","EPR.PRG",NA,NA,NA,NA,31564,NA,-4.07,NA,NA,NA,31564
"862","EPRT",104.67,"M",103,"M",4.7,"M",-1.19,4.57,104670000,1.03e+08,4700000
"863","EQC",121.52,"M",119.11,"M",1.75,"M",-0.54,1.47,121520000,119110000,1750000
"864","EQC.PRD",4.92,"M",NA,NA,7111,NA,0.01,NA,4920000,NA,7111
"865","EQD",41.4,"M",NA,NA,165453,NA,-49.22,NA,41400000,NA,165453
"866","EQH",449.41,"M",399.69,"M",21.93,"M",31.07,5.49,449410000,399690000,21930000
"867","EQH.PRA",NA,NA,NA,NA,11840,NA,-16.78,NA,NA,NA,11840
"868","EQH.PRC",12,"M",NA,NA,926,NA,NA,NA,1.2e+07,NA,926
"869","EQNR",3.26,"B",3.22,"B",11.6,"M",46.64,0.36,3.26e+09,3.22e+09,11600000
"870","EQR",372.25,"M",364.75,"M",10.39,"M",11.92,2.85,372250000,364750000,10390000
"871","EQT",255.6,"M",269.94,"M",21.99,"M",6.63,8.15,255600000,269940000,21990000
"872","ERF",222.55,"M",221.59,"M",7.19,"M",5.93,3.25,222550000,221590000,7190000
"873","ERJ",NA,NA,183.95,"M",6.08,"M",-9.42,3.31,NA,183950000,6080000
"874","ES",342.82,"M",341.56,"M",2.67,"M",-13.4,0.78,342820000,341560000,2670000
"875","ESE",26.04,"M",25.37,"M",320796,NA,10.35,1.26,26040000,25370000,320796
"876","ESGC",207.02,"M",76.76,"M",13.53,"M",-3.8,17.62,207020000,76760000,13530000
"877","ESI",247.21,"M",199.07,"M",6.61,"M",2.34,3.32,247210000,199070000,6610000
"878","ESNT",112.42,"M",109.56,"M",5.42,"M",-4.85,4.94,112420000,109560000,5420000
"879","ESRT",170.95,"M",140.82,"M",12.13,"M",6.32,8.61,170950000,140820000,12130000
"880","ESS",65.2,"M",64.78,"M",862938,NA,3.89,1.33,65200000,64780000,862938
"881","ESTC",87.4,"M",63.59,"M",8.05,"M",7.04,12.66,87400000,63590000,8050000
"882","ESTE",64.72,"M",15.06,"M",1.1,"M",-3.76,7.27,64720000,15060000,1100000
"883","ET",2.7,"B",2.03,"B",50.3,"M",-1.5,2.47,2.7e+09,2.03e+09,50300000
"884","ETH",27.45,"M",21.21,"M",1.58,"M",-4.37,7.44,27450000,21210000,1580000
"885","ETI.PR",NA,NA,NA,NA,937,NA,-75.26,NA,NA,NA,937
"886","ETM",133.94,"M",113.36,"M",7.83,"M",-1.09,6.91,133940000,113360000,7830000
"887","ETN",398.6,"M",397.75,"M",2.94,"M",-2.19,0.74,398600000,397750000,2940000
"888","ETP.PRC",NA,NA,NA,NA,21300,NA,4.93,NA,NA,NA,21300
"889","ETP.PRD",NA,NA,NA,NA,51122,NA,-6.32,NA,NA,NA,51122
"890","ETP.PRE",NA,NA,NA,NA,89981,NA,-31.96,NA,NA,NA,89981
"891","ETR",200.21,"M",199.56,"M",2.3,"M",-20.97,1.15,200210000,199560000,2300000
"892","ETRN",432.43,"M",404.82,"M",22.31,"M",-4.58,5.51,432430000,404820000,22310000
"893","EURN",NA,NA,168.64,"M",4.56,"M",12.4,2.7,NA,168640000,4560000
"894","EV",114.2,"M",110.09,"M",6.09,"M",6.02,5.53,114200000,110090000,6090000
"895","EVA",39.77,"M",24.82,"M",116774,NA,11.39,0.47,39770000,24820000,116774
"896","EVC",59.91,"M",58.51,"M",398227,NA,-3.09,0.68,59910000,58510000,398227
"897","EVH",85.78,"M",84.42,"M",8.54,"M",-2.89,10.11,85780000,84420000,8540000
"898","EVR",40.63,"M",38.57,"M",1.08,"M",-10.05,2.81,40630000,38570000,1080000
"899","EVRG",226.83,"M",225.88,"M",3.49,"M",-50.14,1.54,226830000,225880000,3490000
"900","EVRI",85.93,"M",84.74,"M",4.5,"M",-26.01,5.3,85930000,84740000,4500000
"901","EVTC",71.91,"M",59.6,"M",925951,NA,-3.54,1.55,71910000,59600000,925951
"902","EW",623.25,"M",617.8,"M",4.32,"M",-6.74,0.7,623250000,617800000,4320000
"903","EXK",154.99,"M",156.19,"M",3.07,"M",-8.75,1.97,154990000,156190000,3070000
"904","EXP",41.82,"M",41.27,"M",1.68,"M",4.36,4.07,41820000,41270000,1680000
"905","EXPR",64.95,"M",60.82,"M",7.22,"M",-10.01,11.87,64950000,60820000,7220000
"906","EXR",131.36,"M",128.34,"M",2.86,"M",3.96,2.23,131360000,128340000,2860000
"907","EXTN",33.13,"M",32,"M",1.45,"M",-0.46,4.53,33130000,3.2e+07,1450000
"908","F",3.91,"B",3.9,"B",93.41,"M",-3.99,2.4,3.91e+09,3.9e+09,93410000
"909","F.PRB",NA,NA,NA,NA,7753,NA,64.05,NA,NA,NA,7753
"910","F.PRC",NA,NA,NA,NA,40705,NA,3.69,NA,NA,NA,40705
"911","FAF",111.65,"M",108.26,"M",1.37,"M",8.37,1.27,111650000,108260000,1370000
"912","FAII",34.5,"M",NA,NA,209451,NA,-44.66,NA,34500000,NA,209451
"913","FBC",52.66,"M",51.51,"M",1.34,"M",-10.31,2.6,52660000,51510000,1340000
"914","FBHS",138.93,"M",138.24,"M",1.42,"M",0.37,1.03,138930000,138240000,1420000
"915","FBK",47.22,"M",32.53,"M",1.11,"M",1.46,3.42,47220000,32530000,1110000
"916","FBM",43.21,"M",22.49,"M",781532,NA,8.37,3.47,43210000,22490000,781532
"917","FBP",218.23,"M",213.28,"M",7.13,"M",73.87,3.34,218230000,213280000,7130000
"918","FC",14.04,"M",11.85,"M",268917,NA,-1.96,2.27,14040000,11850000,268917
"919","FCF",96.13,"M",94.58,"M",1.78,"M",9.64,1.88,96130000,94580000,1780000
"920","FCN",35.66,"M",34.95,"M",1.78,"M",3.29,5.09,35660000,34950000,1780000
"921","FCPT",73.45,"M",72.76,"M",2,"M",-3.98,2.75,73450000,72760000,2e+06
"922","FCRW",NA,NA,NA,NA,915,NA,76.64,NA,NA,NA,915
"923","FCRZ",NA,NA,NA,NA,3524,NA,93.84,NA,NA,NA,3524
"924","FCX",1.45,"B",1.45,"B",17.75,"M",3.41,1.23,1.45e+09,1.45e+09,17750000
"925","FDP",47.37,"M",34.26,"M",973377,NA,-7.02,2.84,47370000,34260000,973377
"926","FDX",265.07,"M",244.86,"M",3.3,"M",18.91,1.35,265070000,244860000,3300000
"927","FE",542.59,"M",535.6,"M",16.87,"M",3.83,3.15,542590000,535600000,16870000
"928","FEDU",46.26,"M",NA,NA,5300,NA,-40.66,NA,46260000,NA,5300
"929","FENG",33.24,"M",33.04,"M",427811,NA,-39.91,1.29,33240000,33040000,427811
"930","FET",5.58,"M",5.01,"M",247990,NA,44.41,4.95,5580000,5010000,247990
"931","FF",43.74,"M",42.72,"M",602736,NA,15.33,1.41,43740000,42720000,602736
"932","FFG",24.39,"M",9.58,"M",229380,NA,19.23,2.39,24390000,9580000,229380
"933","FGNA",24.36,"M",NA,NA,134297,NA,-78.63,NA,24360000,NA,134297
"934","FHI",99.36,"M",94.33,"M",1.8,"M",-11.53,1.91,99360000,94330000,1800000
"935","FHN",554.79,"M",544.73,"M",12.33,"M",-16.71,2.26,554790000,544730000,12330000
"936","FHN.PRA",NA,NA,NA,NA,642,NA,-74.55,NA,NA,NA,642
"937","FHN.PRB",3.2,"M",NA,NA,690,NA,77.38,NA,3200000,NA,690
"938","FHN.PRC",2.3,"M",NA,NA,2990,NA,-77.5,NA,2300000,NA,2990
"939","FHN.PRD",4,"M",NA,NA,251,NA,-91.97,NA,4e+06,NA,251
"940","FHN.PRE",6,"M",NA,NA,7927,NA,-7.87,NA,6e+06,NA,7927
"941","FI",226.32,"M",155.94,"M",2.13,"M",0.11,1.37,226320000,155940000,2130000
"942","FICO",29.24,"M",28.21,"M",632621,NA,-3.45,2.24,29240000,28210000,632621
"943","FINV",188.54,"M",188.04,"M",1.47,"M",21.03,0.78,188540000,188040000,1470000
"944","FIS",620.51,"M",616.56,"M",6.19,"M",4.55,1,620510000,616560000,6190000
"945","FIX",36.39,"M",35.41,"M",956545,NA,-5.34,2.7,36390000,35410000,956545
"946","FL",104.21,"M",90.26,"M",6.43,"M",-8.51,7.13,104210000,90260000,6430000
"947","FLNG",NA,NA,29.04,"M",68816,NA,-1.71,0.24,NA,29040000,68816
"948","FLO",211.6,"M",193.84,"M",9.7,"M",0.66,5.01,211600000,193840000,9700000
"949","FLOW",42.21,"M",41.68,"M",564902,NA,-30.87,1.36,42210000,41680000,564902
"950","FLR",140.72,"M",123.71,"M",5.18,"M",-7.34,4.19,140720000,123710000,5180000
"951","FLS",130.26,"M",129.91,"M",4.79,"M",-8.38,3.69,130260000,129910000,4790000
"952","FLT",83.4,"M",81.42,"M",1.79,"M",2.25,2.2,83400000,81420000,1790000
"953","FLY",30.9,"M",NA,NA,331717,NA,-11.13,NA,30900000,NA,331717
"954","FMAC",41.4,"M",NA,NA,26934,NA,-89.4,NA,41400000,NA,26934
"955","FMC",129.76,"M",128.92,"M",979654,NA,9.38,0.76,129760000,128920000,979654
"956","FMS",609.33,"M",NA,NA,579716,NA,62.42,NA,609330000,NA,579716
"957","FMX",NA,NA,216.12,"M",1.02,"M",-0.25,0.47,NA,216120000,1020000
"958","FN",36.94,"M",36.43,"M",630769,NA,2.32,1.73,36940000,36430000,630769
"959","FNB",321.63,"M",319.58,"M",6.31,"M",7.18,1.97,321630000,319580000,6310000
"960","FNB.PRE",NA,NA,NA,NA,387,NA,119.89,NA,NA,NA,387
"961","FND",104,"M",99.79,"M",1.77,"M",-7.78,1.78,1.04e+08,99790000,1770000
"962","FNF",293.67,"M",272.11,"M",6.94,"M",-22.04,2.55,293670000,272110000,6940000
"963","FNV",190.59,"M",188.45,"M",2.45,"M",10.07,1.3,190590000,188450000,2450000
"964","FOE",82.24,"M",81.15,"M",5.7,"M",-0.13,7.02,82240000,81150000,5700000
"965","FOR",48.08,"M",16.5,"M",380379,NA,-20.4,2.31,48080000,16500000,380379
"966","FOUR",30.02,"M",37.12,"M",3.07,"M",-5.1,8.28,30020000,37120000,3070000
"967","FPAC.U",60,"M",NA,NA,6331,NA,-75.45,NA,6e+07,NA,6331
"968","FPH",69.05,"M",57.25,"M",875470,NA,-2.52,1.53,69050000,57250000,875470
"969","FPI",29.31,"M",23.71,"M",1.47,"M",-1.04,6.22,29310000,23710000,1470000
"970","FPI.PRB",5.83,"M",NA,NA,345,NA,-87.46,NA,5830000,NA,345
"971","FR",129.05,"M",127.62,"M",1.25,"M",14.28,0.98,129050000,127620000,1250000
"972","FRC",171.29,"M",172.1,"M",3.3,"M",17.53,1.92,171290000,172100000,3300000
"973","FRC.PRG",NA,NA,NA,NA,1928,NA,24.87,NA,NA,NA,1928
"974","FRC.PRH",NA,NA,NA,NA,13247,NA,1182.38,NA,NA,NA,13247
"975","FRC.PRI",NA,NA,NA,NA,737,NA,-89.91,NA,NA,NA,737
"976","FRC.PRJ",15.8,"M",NA,NA,6988,NA,-3.23,NA,15800000,NA,6988
"977","FRC.PRK",20,"M",NA,NA,119400,NA,132.22,NA,2e+07,NA,119400
"978","FRO",197.69,"M",98.25,"M",7.71,"M",-8.01,7.85,197690000,98250000,7710000
"979","FRT",75.65,"M",74.98,"M",2.6,"M",5.3,3.47,75650000,74980000,2600000
"980","FRT.PRC",NA,NA,NA,NA,2803,NA,28.58,NA,NA,NA,2803
"981","FSK",123.76,"M",123.34,"M",1.39,"M",16.74,1.13,123760000,123340000,1390000
"982","FSKR",169.97,"M",169.47,"M",41914,NA,-7.88,0.02,169970000,169470000,41914
"983","FSLY",102.4,"M",95.21,"M",15.27,"M",0.55,16.04,102400000,95210000,15270000
"984","FSM",184.2,"M",182.33,"M",8.56,"M",-11.81,4.7,184200000,182330000,8560000
"985","FSR",55.19,"M",125.89,"M",12.69,"M",2.75,10.08,55190000,125890000,12690000
"986","FSS",60.52,"M",59.31,"M",1.22,"M",-2.92,2.05,60520000,59310000,1220000
"987","FST",20,"M",NA,NA,40090,NA,-59.12,NA,2e+07,NA,40090
"988","FTAI",85.62,"M",80.18,"M",854329,NA,-8.47,1.07,85620000,80180000,854329
"989","FTAI.PRA",NA,NA,NA,NA,8059,NA,31.34,NA,NA,NA,8059
"990","FTAI.PRB",NA,NA,NA,NA,6746,NA,529.29,NA,NA,NA,6746
"991","FTCH",297.02,"M",207.11,"M",21.74,"M",3.45,10.5,297020000,207110000,21740000
"992","FTI",449.41,"M",414.54,"M",17.22,"M",-11.09,4.16,449410000,414540000,17220000
"993","FTK",73.09,"M",67.33,"M",3.14,"M",-5.37,4.66,73090000,67330000,3140000
"994","FTS",465,"M",462.31,"M",1.77,"M",-9.48,0.38,4.65e+08,462310000,1770000
"995","FTV",337.2,"M",322.32,"M",7.61,"M",2.26,2.36,337200000,322320000,7610000
"996","FTV.PRA",NA,NA,NA,NA,199,NA,-54.67,NA,NA,NA,199
"997","FUBO",67.56,"M",54.47,"M",39.17,"M",15.7,71.91,67560000,54470000,39170000
"998","FUL",51.97,"M",51.51,"M",1.39,"M",14.63,2.7,51970000,51510000,1390000
"999","FUN",56.71,"M",51.25,"M",3.29,"M",-3.03,6.42,56710000,51250000,3290000
"1000","FUSE",35,"M",NA,NA,198146,NA,31.38,NA,3.5e+07,NA,198146
"1001","FVRR",35.12,"M",19.87,"M",1.67,"M",7.36,8.4,35120000,19870000,1670000
"1002","G",189.35,"M",174.29,"M",2.07,"M",-34.34,1.19,189350000,174290000,2070000
"1003","GAB.PRG",NA,NA,NA,NA,5116,NA,457.3,NA,NA,NA,5116
"1004","GAB.PRH",NA,NA,NA,NA,148,NA,-63.9,NA,NA,NA,148
"1005","GAB.PRJ",NA,NA,NA,NA,1881,NA,-11.65,NA,NA,NA,1881
"1006","GAB.PRK",NA,NA,NA,NA,3964,NA,-13.84,NA,NA,NA,3964
"1007","GAM.PRB",7.6,"M",NA,NA,35,NA,-95.93,NA,7600000,NA,35
"1008","GATO",59.18,"M",38.67,"M",778787,NA,-28.88,2.01,59180000,38670000,778787
"1009","GATX",34.9,"M",34.35,"M",5.07,"M",-1.02,14.77,34900000,34350000,5070000
"1010","GB",173.75,"M",26.64,"M",248595,NA,-0.48,0.93,173750000,26640000,248595
"1011","GBL",8.43,"M",8.03,"M",84901,NA,-13.01,1.06,8430000,8030000,84901
"1012","GBX",32.82,"M",31.73,"M",4,"M",0.43,12.6,32820000,31730000,4e+06
"1013","GCI",137.81,"M",129.91,"M",12.79,"M",-1.29,9.84,137810000,129910000,12790000
"1014","GCO",14.99,"M",14.08,"M",949084,NA,-8.91,6.74,14990000,14080000,949084
"1015","GCP",73.06,"M",59.35,"M",593284,NA,-12.4,1,73060000,59350000,593284
"1016","GD",286.48,"M",284.94,"M",4.15,"M",7.34,1.46,286480000,284940000,4150000
"1017","GDDY",166.82,"M",166.58,"M",6.33,"M",2.64,3.8,166820000,166580000,6330000
"1018","GDL.PRC",NA,NA,NA,NA,388,NA,252.73,NA,NA,NA,388
"1019","GDOT",53.48,"M",50.63,"M",2.52,"M",10.82,4.97,53480000,50630000,2520000
"1020","GDV.PRG",NA,NA,NA,NA,2045,NA,29.76,NA,NA,NA,2045
"1021","GDV.PRH",NA,NA,NA,NA,290,NA,-58.15,NA,NA,NA,290
"1022","GE",8.76,"B",8.71,"B",88.55,"M",-1.33,1.02,8.76e+09,8.71e+09,88550000
"1023","GEF",26.44,"M",25.44,"M",846714,NA,1.03,3.33,26440000,25440000,846714
"1024","GEF.B",22.01,"M",3.94,"M",46398,NA,19.82,1.18,22010000,3940000,46398
"1025","GEL",122.54,"M",102.36,"M",963457,NA,-1.92,0.94,122540000,102360000,963457
"1026","GEN           ",110.64,"M",55.16,"M",430547,NA,-20.22,0.78,110640000,55160000,430547
"1027","GEO",121.32,"M",116.88,"M",27.81,"M",26.39,23.79,121320000,116880000,27810000
"1028","GES",63.62,"M",37.78,"M",7.7,"M",-11.85,20.39,63620000,37780000,7700000
"1029","GFF",56.23,"M",52.59,"M",1.13,"M",-2.89,2.15,56230000,52590000,1130000
"1030","GFI",883.58,"M",883.29,"M",5.06,"M",11.99,0.57,883580000,883290000,5060000
"1031","GFL",314.31,"M",141.4,"M",8.77,"M",-7.41,6.2,314310000,141400000,8770000
"1032","GFLU",15.5,"M",NA,NA,30599,NA,7.97,NA,15500000,NA,30599
"1033","GGB",NA,NA,1.13,"B",3.19,"M",-37.39,0.28,NA,1.13e+09,3190000
"1034","GGG",167.54,"M",165.54,"M",1.67,"M",-8.72,1.01,167540000,165540000,1670000
"1035","GGT.PRE",NA,NA,NA,NA,165,NA,-66.26,NA,NA,NA,165
"1036","GGT.PRG",NA,NA,NA,NA,2442,NA,5.17,NA,NA,NA,2442
"1037","GGZ.PRA",NA,NA,NA,NA,102,NA,-1.92,NA,NA,NA,102
"1038","GHC",4.04,"M",3.89,"M",62979,NA,-11.28,1.62,4040000,3890000,62979
"1039","GHG",NA,NA,NA,NA,67730,NA,-13.69,NA,NA,NA,67730
"1040","GHL",18.97,"M",13.9,"M",621177,NA,4.65,4.47,18970000,13900000,621177
"1041","GHLD",19.67,"M",1.65,"M",52007,NA,-35.27,3.15,19670000,1650000,52007
"1042","GHM",9.98,"M",9.53,"M",75278,NA,-3.05,0.79,9980000,9530000,75278
"1043","GIB",224.83,"M",221.1,"M",1.44,"M",-9.45,0.65,224830000,221100000,1440000
"1044","GIK",25.89,"M",NA,NA,932711,NA,21.24,NA,25890000,NA,932711
"1045","GIL",198.31,"M",194.47,"M",3.57,"M",-11.17,1.84,198310000,194470000,3570000
"1046","GIS",611.44,"M",609.74,"M",22.78,"M",13.58,3.74,611440000,609740000,22780000
"1047","GIX",21.67,"M",17.04,"M",158514,NA,-25.1,0.93,21670000,17040000,158514
"1048","GIX.RT",NA,NA,NA,NA,7322,NA,-41.68,NA,NA,NA,7322
"1049","GJH",NA,NA,NA,NA,397,NA,230.83,NA,NA,NA,397
"1050","GJO",546520,NA,NA,NA,359,NA,1280.77,NA,546520,NA,359
"1051","GJP",NA,NA,NA,NA,105,NA,-3.67,NA,NA,NA,105
"1052","GJR",NA,NA,NA,NA,100,NA,194.12,NA,NA,NA,100
"1053","GJS",NA,NA,NA,NA,229,NA,-74.21,NA,NA,NA,229
"1054","GJT",730000,NA,NA,NA,1000,NA,-38.23,NA,730000,NA,1000
"1055","GKOS",44.96,"M",42.87,"M",4.31,"M",-5.97,10.06,44960000,42870000,4310000
"1056","GL",104.66,"M",102.4,"M",679236,NA,3.4,0.66,104660000,102400000,679236
"1057","GL.PRC",NA,NA,NA,NA,7340,NA,41.86,NA,NA,NA,7340
"1058","GLEO",NA,NA,13.95,"M",18284,NA,461.03,0.13,NA,13950000,18284
"1059","GLOB",39.56,"M",38.74,"M",698387,NA,-2.78,1.8,39560000,38740000,698387
