"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"67","AGM.PRD",NA,NA,NA,NA,3130,NA,-31.01,NA,NA,NA,3130
"68","AGM.PRE",3.18,"M",NA,NA,5401,NA,160.04,NA,3180000,NA,5401
"69","AGM.PRF",4.8,"M",NA,NA,11770,NA,-55.37,NA,4800000,NA,11770
"70","AGO",80.81,"M",76.82,"M",6.04,"M",1.18,7.87,80810000,76820000,6040000
"71","AGO.PRB",NA,NA,NA,NA,129,NA,-96.61,NA,NA,NA,129
"72","AGO.PRE",NA,NA,NA,NA,4444,NA,31.05,NA,NA,NA,4444
"73","AGO.PRF",NA,NA,NA,NA,3601,NA,4.14,NA,NA,NA,3601
"74","AGR",309.01,"M",56.7,"M",3.14,"M",22.51,5.53,309010000,56700000,3140000
"75","AGRO",118.19,"M",118.19,"M",671415,NA,40.68,0.57,118190000,118190000,671415
"76","AGS",35.77,"M",27.08,"M",915688,NA,-2.43,3.38,35770000,27080000,915688
"77","AGX",15.69,"M",14.95,"M",228261,NA,-11.26,1.53,15690000,14950000,228261
"78","AHC",18.94,"M",18.38,"M",26842,NA,93.72,0.15,18940000,18380000,26842
"79","AHH",57.93,"M",56.84,"M",531500,NA,-11.15,0.94,57930000,56840000,531500
"80","AHH.PRA",9.98,"M",NA,NA,8679,NA,-21.8,NA,9980000,NA,8679
"81","AHL.PRC",NA,NA,NA,NA,2516,NA,-27.45,NA,NA,NA,2516
"82","AHL.PRD",NA,NA,NA,NA,24598,NA,-28.78,NA,NA,NA,24598
"83","AHL.PRE",NA,NA,NA,NA,40563,NA,51.75,NA,NA,NA,40563
"84","AHT",68.94,"M",64.15,"M",1.92,"M",-29.68,2.99,68940000,64150000,1920000
"85","AHT.PRD",1.79,"M",NA,NA,19654,NA,-24.47,NA,1790000,NA,19654
"86","AHT.PRF",2.78,"M",NA,NA,6330,NA,493.81,NA,2780000,NA,6330
"87","AHT.PRG",4.34,"M",NA,NA,7594,NA,-71.15,NA,4340000,NA,7594
"88","AHT.PRH",2.58,"M",NA,NA,772,NA,-42.56,NA,2580000,NA,772
"89","AHT.PRI",3.27,"M",NA,NA,3350,NA,198.31,NA,3270000,NA,3350
"90","AI",92.35,"M",43.66,"M",3.92,"M",-2.81,8.97,92350000,43660000,3920000
"91","AIC",NA,NA,NA,NA,1516,NA,252.56,NA,NA,NA,1516
"92","AIG",861.43,"M",860.8,"M",11.58,"M",5.73,1.35,861430000,860800000,11580000
"93","AIG.PRA",NA,NA,NA,NA,82384,NA,463.16,NA,NA,NA,82384
"94","AIN",30.7,"M",30.45,"M",644399,NA,0.55,2.12,30700000,30450000,644399
"95","AIR",35.3,"M",33.41,"M",1.33,"M",2.11,3.97,35300000,33410000,1330000
"96","AIRC",148.87,"M",NA,NA,2.36,"M",-49.77,NA,148870000,NA,2360000
"97","AIT",38.76,"M",38.17,"M",535698,NA,6.28,1.4,38760000,38170000,535698
"98","AIV",148.87,"M",146.88,"M",8.99,"M",-32.06,6.12,148870000,146880000,8990000
"99","AIW",NA,NA,NA,NA,695,NA,-36.82,NA,NA,NA,695
"100","AIZ",59.65,"M",58.71,"M",1.7,"M",2.28,2.9,59650000,58710000,1700000
"101","AIZN",10,"M",NA,NA,9272,NA,-79.09,NA,1e+07,NA,9272
"102","AIZP",NA,NA,NA,NA,5904,NA,-41.81,NA,NA,NA,5904
"103","AJAX",80.5,"M",NA,NA,622667,NA,17.65,NA,80500000,NA,622667
"104","AJG",192.32,"M",190.28,"M",1.7,"M",14.52,0.89,192320000,190280000,1700000
"105","AJRD",77.28,"M",75.22,"M",5.9,"M",4.5,7.84,77280000,75220000,5900000
"106","AJX",22.93,"M",20.62,"M",285764,NA,-6.7,1.39,22930000,20620000,285764
"107","AJXA",4.63,"M",NA,NA,7335,NA,363.36,NA,4630000,NA,7335
"108","AKR",86.27,"M",85.59,"M",2.25,"M",4.7,2.63,86270000,85590000,2250000
"109","AL",113.78,"M",105.92,"M",6.63,"M",-0.34,6.26,113780000,105920000,6630000
"110","AL.PRA",NA,NA,NA,NA,4157,NA,29.5,NA,NA,NA,4157
"111","ALB",106.46,"M",106.04,"M",4.04,"M",1.29,3.81,106460000,106040000,4040000
"112","ALC",499.7,"M",485.09,"M",6.2,"M",0.91,1.28,499700000,485090000,6200000
"113","ALE",51.97,"M",51.71,"M",1.21,"M",-0.11,2.34,51970000,51710000,1210000
