"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"1","A",304.7,"M",303.41,"M",2.2,"M",2.99,0.72,304700000,303410000,2200000
"2","AA",186.72,"M",185,"M",10.17,"M",9.35,5.49,186720000,1.85e+08,10170000
"3","AAIC",33.48,"M",32.63,"M",1.21,"M",5.48,3.7,33480000,32630000,1210000
"4","AAIC.PRB",336273,NA,NA,NA,2328,NA,-30.17,NA,336273,NA,2328
"5","AAIC.PRC",1.12,"M",NA,NA,857,NA,-36.04,NA,1120000,NA,857
"6","AAN",34.17,"M",33.6,"M",781697,NA,-7.78,2.33,34170000,33600000,781697
"7","AAP",65.43,"M",65.03,"M",3.28,"M",-11.47,5.05,65430000,65030000,3280000
"8","AAT",60.47,"M",49.3,"M",1.01,"M",-7.01,2.04,60470000,49300000,1010000
"9","AB",100.49,"M",93.62,"M",1.04,"M",-4.36,1.11,100490000,93620000,1040000
"10","ABB",NA,NA,2.02,"B",5.38,"M",22.74,0.27,NA,2.02e+09,5380000
"11","ABBV",1.77,"B",1.76,"B",15.28,"M",2.67,0.87,1.77e+09,1.76e+09,15280000
"12","ABC",205.41,"M",147.91,"M",3.41,"M",4.76,2.31,205410000,147910000,3410000
"13","ABEV",15.74,"B",15.74,"B",109.52,"M",11.93,0.7,1.574e+10,1.574e+10,109520000
"14","ABG",19.34,"M",19.14,"M",1.33,"M",-0.88,6.96,19340000,19140000,1330000
"15","ABM",67.09,"M",66.11,"M",1.38,"M",19.59,2.09,67090000,66110000,1380000
"16","ABR",133.06,"M",125.97,"M",4.97,"M",11.01,3.94,133060000,125970000,4970000
"17","ABR.PRA",1.55,"M",NA,NA,554,NA,-60.6,NA,1550000,NA,554
"18","ABR.PRB",NA,NA,NA,NA,2241,NA,-11.11,NA,NA,NA,2241
"19","ABR.PRC",NA,NA,NA,NA,125,NA,-85.1,NA,NA,NA,125
"20","ABT",1.78,"B",NA,NA,14.2,"M",1.55,NA,1.78e+09,NA,14200000
"21","AC",3.16,"M",3.11,"M",50036,NA,11.22,1.61,3160000,3110000,50036
"22","ACA",48.17,"M",47.4,"M",576204,NA,4.33,1.22,48170000,47400000,576204
"23","ACB",198.05,"M",196.65,"M",35.95,"M",-4.47,18.28,198050000,196650000,35950000
"24","ACC",137.87,"M",136.6,"M",2.4,"M",-18.03,1.76,137870000,136600000,2400000
"25","ACCO",95.49,"M",92.09,"M",3.12,"M",24.95,3.39,95490000,92090000,3120000
"26","ACEL",93.39,"M",63.34,"M",2.73,"M",-4.82,4.3,93390000,63340000,2730000
"27","ACH",NA,NA,NA,NA,126726,NA,19.51,NA,NA,NA,126726
"28","ACI",466.51,"M",236.47,"M",12.4,"M",2.7,5.24,466510000,236470000,12400000
"29","ACIC",50,"M",NA,NA,5.12,"M",15.13,NA,5e+07,NA,5120000
"30","ACM",146.39,"M",144.38,"M",2.2,"M",-13.84,1.52,146390000,144380000,2200000
"31","ACN",665.11,"M",663.43,"M",4.02,"M",-10.88,0.61,665110000,663430000,4020000
"32","ACND",41.4,"M",41.1,"M",271683,NA,21.82,0.66,41400000,41100000,271683
"33","ACRE",40.5,"M",30.87,"M",581502,NA,18.22,1.88,40500000,30870000,581502
"34","ADC",64.15,"M",62.73,"M",5.18,"M",4.85,8.25,64150000,62730000,5180000
"35","ADCT",76.72,"M",38.21,"M",7.04,"M",0.48,18.43,76720000,38210000,7040000
"36","ADM",558.7,"M",555.42,"M",4.16,"M",-6.21,0.75,558700000,555420000,4160000
"37","ADNT",94.21,"M",92.43,"M",2.34,"M",1.28,2.53,94210000,92430000,2340000
"38","ADS",49.72,"M",49.34,"M",3.2,"M",-2.67,6.49,49720000,49340000,3200000
"39","ADT",765.38,"M",151.31,"M",9.71,"M",-13.7,6.42,765380000,151310000,9710000
"40","AEB",NA,NA,NA,NA,12440,NA,-22.05,NA,NA,NA,12440
"41","AEE",255.55,"M",254.05,"M",3.14,"M",-0.76,1.24,255550000,254050000,3140000
"42","AEFC",NA,NA,NA,NA,5264,NA,-19.46,NA,NA,NA,5264
"43","AEG",NA,NA,2.05,"B",1.89,"M",-5.12,0.09,NA,2.05e+09,1890000
"44","AEL",95.43,"M",93.69,"M",2.14,"M",0.59,2.28,95430000,93690000,2140000
"45","AEL.PRA",NA,NA,NA,NA,10399,NA,-19.27,NA,NA,NA,10399
"46","AEL.PRB",12,"M",NA,NA,15779,NA,15.47,NA,1.2e+07,NA,15779
"47","AEM",243.04,"M",242.25,"M",1.84,"M",30.37,0.76,243040000,242250000,1840000
"48","AENZ",NA,NA,NA,NA,140927,NA,106.8,NA,NA,NA,140927
"49","AEO",167.21,"M",151.43,"M",18.19,"M",0.45,12.01,167210000,151430000,18190000
"50","AER",130.73,"M",126.47,"M",2.14,"M",-10.91,1.69,130730000,126470000,2140000
"51","AES",666.26,"M",664.25,"M",9.27,"M",22.69,1.4,666260000,664250000,9270000
"52","AFG",85.1,"M",78.66,"M",790353,NA,15,1,85100000,78660000,790353
"53","AFGB",NA,NA,NA,NA,17521,NA,0.17,NA,NA,NA,17521
"54","AFGC",NA,NA,NA,NA,1294,NA,-50.42,NA,NA,NA,1294
"55","AFGD",6,"M",NA,NA,70056,NA,34.03,NA,6e+06,NA,70056
"56","AFGE",8,"M",NA,NA,124461,NA,-11.82,NA,8e+06,NA,124461
"57","AFI",21.69,"M",20.7,"M",503784,NA,-3.96,2.43,21690000,20700000,503784
"58","AFL",687.6,"M",NA,NA,12.31,"M",10.4,NA,687600000,NA,12310000
"59","AG",222.82,"M",182.92,"M",18.12,"M",3.49,9.9,222820000,182920000,18120000
"60","AGCB",46.1,"M",41.87,"M",38100,NA,-44.85,0.09,46100000,41870000,38100
"61","AGCO",75.35,"M",62.02,"M",1.05,"M",-4.6,1.69,75350000,62020000,1050000
"62","AGI",392.74,"M",382.3,"M",2.88,"M",5.79,0.75,392740000,382300000,2880000
"63","AGM",9.23,"M",9.04,"M",132571,NA,16.45,1.47,9230000,9040000,132571
"64","AGM.A",1.03,"M",949280,NA,1506,NA,20.77,0.16,1030000,949280,1506
"65","AGM.PRC",NA,NA,NA,NA,541,NA,-58.95,NA,NA,NA,541
