"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"66","AGM.PRD",NA,NA,NA,NA,3766,NA,563.03,NA,NA,NA,3766
"67","AGM.PRE",3.18,"M",NA,NA,2075,NA,-16.43,NA,3180000,NA,2075
"68","AGM.PRF",4.8,"M",NA,NA,1540,NA,172.08,NA,4800000,NA,1540
"69","AGO",75.4,"M",71.6,"M",3.81,"M",-3.31,5.33,75400000,71600000,3810000
"70","AGO.PRB",NA,NA,NA,NA,9611,NA,185.87,NA,NA,NA,9611
"71","AGO.PRE",NA,NA,NA,NA,4200,NA,-3.91,NA,NA,NA,4200
"72","AGO.PRF",NA,NA,NA,NA,1123,NA,-44.1,NA,NA,NA,1123
"73","AGR",387.19,"M",NA,NA,2.92,"M",-2.73,NA,387190000,NA,2920000
"74","AGRO",117.81,"M",116.8,"M",1.27,"M",3.91,1.09,117810000,116800000,1270000
"75","AGS",36.63,"M",28.75,"M",446183,NA,-21.1,1.55,36630000,28750000,446183
"76","AGX",15.77,"M",15.04,"M",242206,NA,7.02,1.61,15770000,15040000,242206
"77","AHC",18.94,"M",18.43,"M",89731,NA,22.65,0.49,18940000,18430000,89731
"78","AHH",60.31,"M",59.18,"M",655114,NA,0.59,1.11,60310000,59180000,655114
"79","AHH.PRA",6.84,"M",NA,NA,5636,NA,230.56,NA,6840000,NA,5636
"80","AHL.PRC",NA,NA,NA,NA,3722,NA,-60.43,NA,NA,NA,3722
"81","AHL.PRD",NA,NA,NA,NA,2060,NA,-77.97,NA,NA,NA,2060
"82","AHL.PRE",NA,NA,NA,NA,19634,NA,11.27,NA,NA,NA,19634
"83","AHT",145.33,"M",137.85,"M",6.74,"M",0.4,4.89,145330000,137850000,6740000
"84","AHT.PRD",1.68,"M",NA,NA,20300,NA,-4.63,NA,1680000,NA,20300
"85","AHT.PRF",2.04,"M",NA,NA,20936,NA,142.09,NA,2040000,NA,20936
"86","AHT.PRG",3.17,"M",NA,NA,40884,NA,76.22,NA,3170000,NA,40884
"87","AHT.PRH",2,"M",NA,NA,11684,NA,23.03,NA,2e+06,NA,11684
"88","AHT.PRI",2,"M",NA,NA,6490,NA,136.86,NA,2e+06,NA,6490
"89","AI",97.43,"M",56.82,"M",10.46,"M",15.01,18.41,97430000,56820000,10460000
"90","AIC",NA,NA,NA,NA,275,NA,-76.85,NA,NA,NA,275
"91","AIG",858.14,"M",857.32,"M",7.12,"M",-6.11,0.83,858140000,857320000,7120000
"92","AIG.PRA",NA,NA,NA,NA,49613,NA,-37.68,NA,NA,NA,49613
"93","AIN",30.7,"M",30.44,"M",428472,NA,-12.92,1.41,30700000,30440000,428472
"94","AIR",35.32,"M",33.5,"M",1.22,"M",17.14,3.64,35320000,33500000,1220000
"95","AIRC",148.99,"M",154.33,"M",1.36,"M",-7.58,0.88,148990000,154330000,1360000
"96","AIT",38.86,"M",38.31,"M",471759,NA,-0.3,1.23,38860000,38310000,471759
"97","AIV",150.07,"M",144.65,"M",5.78,"M",51.98,3.99,150070000,144650000,5780000
"98","AIW",NA,NA,NA,NA,419,NA,-57.2,NA,NA,NA,419
"99","AIZ",60.57,"M",59.92,"M",756944,NA,-2.64,1.26,60570000,59920000,756944
"100","AIZN",10,"M",NA,NA,9614,NA,41.95,NA,1e+07,NA,9614
"101","AJAX",80.5,"M",NA,NA,1.51,"M",-1.44,NA,80500000,NA,1510000
"102","AJG",195.89,"M",202.41,"M",2.48,"M",14.86,1.23,195890000,202410000,2480000
"103","AJRD",80.09,"M",78.25,"M",7.29,"M",1.79,9.31,80090000,78250000,7290000
"104","AJX",22.99,"M",21.43,"M",365276,NA,22.52,1.7,22990000,21430000,365276
"105","AJXA",4.63,"M",NA,NA,14316,NA,3.79,NA,4630000,NA,14316
"106","AKR",86.31,"M",85.6,"M",2.25,"M",8.39,2.62,86310000,85600000,2250000
"107","AL",114.12,"M",106.31,"M",3.88,"M",-6.89,3.65,114120000,106310000,3880000
"108","AL.PRA",NA,NA,NA,NA,2354,NA,-85.87,NA,NA,NA,2354
"109","ALB",116.72,"M",116.31,"M",1.85,"M",-5.77,1.59,116720000,116310000,1850000
"110","ALC",499.7,"M",499.62,"M",5.73,"M",-22.92,1.15,499700000,499620000,5730000
"111","ALE",52.19,"M",51.93,"M",930116,NA,0.27,1.79,52190000,51930000,930116
"112","ALEX",72.4,"M",71.31,"M",1.07,"M",34.29,1.49,72400000,71310000,1070000
"113","ALG",11.92,"M",11.56,"M",138709,NA,-5.54,1.2,11920000,11560000,138709
"114","ALIN.PRA",NA,NA,NA,NA,8502,NA,22.72,NA,NA,NA,8502
"115","ALIN.PRB",NA,NA,NA,NA,580,NA,-88.62,NA,NA,NA,580
"116","ALIN.PRE",NA,NA,NA,NA,15676,NA,21.43,NA,NA,NA,15676
"117","ALK",124.48,"M",124,"M",2.13,"M",10.64,1.72,124480000,1.24e+08,2130000
"118","ALL",299.34,"M",297.85,"M",4,"M",-1.23,1.34,299340000,297850000,4e+06
"119","ALL.PRB",NA,NA,NA,NA,57761,NA,25.96,NA,NA,NA,57761
"120","ALL.PRG",NA,NA,NA,NA,96507,NA,-23.65,NA,NA,NA,96507
"121","ALL.PRH",NA,NA,NA,NA,32012,NA,-67.3,NA,NA,NA,32012
"122","ALL.PRI",NA,NA,NA,NA,20245,NA,-34.15,NA,NA,NA,20245
"123","ALLE",89.98,"M",89.45,"M",1.1,"M",-15.67,1.24,89980000,89450000,1100000
"124","ALLY",370.68,"M",368.63,"M",14.42,"M",26.06,3.91,370680000,368630000,14420000
"125","ALLY.PRA",50.68,"M",NA,NA,49393,NA,1.01,NA,50680000,NA,49393
"126","ALP.PRQ",NA,NA,NA,NA,5336,NA,-58.43,NA,NA,NA,5336
"127","ALSN",109.54,"M",108.66,"M",3.59,"M",-25.58,3.31,109540000,108660000,3590000
"128","ALTG",30.02,"M",25.11,"M",417004,NA,60.48,1.66,30020000,25110000,417004
"129","ALTG.PRA",1.2,"M",NA,NA,70,NA,-79.29,NA,1200000,NA,70
"130","ALUS",28.75,"M",28.65,"M",987456,NA,-31.59,3.45,28750000,28650000,987456
"131","ALV",87.42,"M",87.23,"M",1.51,"M",-5.11,1.73,87420000,87230000,1510000
"132","ALX",5.11,"M",2.12,"M",42067,NA,-14,1.98,5110000,2120000,42067
"133","AM",477.36,"M",306.27,"M",8.13,"M",11.24,2.66,477360000,306270000,8130000
"134","AMBC",46.2,"M",45.46,"M",3.59,"M",6.47,7.9,46200000,45460000,3590000
"135","AMC",500.78,"M",498.58,"M",94.58,"M",8.02,18.97,500780000,498580000,94580000
"136","AMCR",1.56,"B",1.54,"B",46.65,"M",-4.61,3.03,1.56e+09,1.54e+09,46650000
"137","AME",230.92,"M",229.78,"M",1.28,"M",-4.87,0.56,230920000,229780000,1280000
"138","AMG",41.64,"M",41.28,"M",955938,NA,-17.08,2.32,41640000,41280000,955938
"139","AMH",335.41,"M",286.78,"M",4.33,"M",-20.22,1.51,335410000,286780000,4330000
"140","AMH.PRD",NA,NA,NA,NA,4157,NA,1.19,NA,NA,NA,4157
"141","AMH.PRE",NA,NA,NA,NA,4445,NA,79.02,NA,NA,NA,4445
"142","AMH.PRF",NA,NA,NA,NA,16540,NA,-26.97,NA,NA,NA,16540
"143","AMH.PRG",NA,NA,NA,NA,11365,NA,56.85,NA,NA,NA,11365
"144","AMH.PRH",NA,NA,NA,NA,11073,NA,-18.75,NA,NA,NA,11073
"145","AMK",72.46,"M",17.34,"M",238550,NA,-31.6,1.38,72460000,17340000,238550
"146","AMN",47.26,"M",46.86,"M",880072,NA,-35.51,1.88,47260000,46860000,880072
"147","AMOV",25.73,"M",NA,NA,439,NA,8.66,NA,25730000,NA,439
"148","AMP",115.9,"M",115.61,"M",2.27,"M",-1.63,1.96,115900000,115610000,2270000
"149","AMPY",37.94,"M",37.4,"M",1.2,"M",-8.72,3.22,37940000,37400000,1200000
"150","AMRC",33.27,"M",28.7,"M",1.58,"M",15.87,5.5,33270000,28700000,1580000
"151","AMRX",148.72,"M",95.19,"M",4.44,"M",-31.12,4.67,148720000,95190000,4440000
"152","AMT",454.7,"M",453.16,"M",3.38,"M",6.96,0.75,454700000,453160000,3380000
"153","AMWL",208.79,"M",160.71,"M",11.99,"M",13.43,7.46,208790000,160710000,11990000
"154","AMX",2.26,"B",2.26,"B",7.97,"M",55.31,0.35,2.26e+09,2.26e+09,7970000
"155","AN",82.42,"M",52.56,"M",2.37,"M",-1.48,4.5,82420000,52560000,2370000
"156","ANET",76.32,"M",55.53,"M",1.62,"M",-9.95,2.92,76320000,55530000,1620000
"157","ANF",61.93,"M",61,"M",5,"M",15.99,8.2,61930000,6.1e+07,5e+06
"158","ANTM",244.84,"M",243.18,"M",3.11,"M",-15.58,1.28,244840000,243180000,3110000
"159","AON",225.65,"M",223.29,"M",26.93,"M",4.1,12.06,225650000,223290000,26930000
"160","AONE",21.5,"M",21.16,"M",305240,NA,2.05,1.44,21500000,21160000,305240
"161","AOS",134.47,"M",131.33,"M",5.59,"M",12.89,4.25,134470000,131330000,5590000
"162","AP",18.86,"M",11.68,"M",673307,NA,-0.18,5.76,18860000,11680000,673307
"163","APAM",64.82,"M",61.22,"M",2.54,"M",-14.57,4.15,64820000,61220000,2540000
"164","APD",221.31,"M",220.54,"M",1.98,"M",14.76,0.9,221310000,220540000,1980000
"165","APG",201.28,"M",157.53,"M",4.35,"M",-3.13,2.76,201280000,157530000,4350000
"166","APH",597.62,"M",594.54,"M",5.52,"M",13.25,0.93,597620000,594540000,5520000
"167","APLE",223.66,"M",208.62,"M",4.74,"M",-0.8,2.27,223660000,208620000,4740000
"168","APO",232.32,"M",209.86,"M",18.23,"M",0.22,8.68,232320000,209860000,18230000
"169","APO.PRA",NA,NA,NA,NA,3488,NA,-28.36,NA,NA,NA,3488
"170","APO.PRB",NA,NA,NA,NA,25447,NA,-12.66,NA,NA,NA,25447
"171","APRN",14.66,"M",12.41,"M",1.43,"M",-12.62,11.53,14660000,12410000,1430000
"172","APSG",81.68,"M",60.67,"M",179426,NA,-7.12,0.3,81680000,60670000,179426
"173","APTS",50.9,"M",49.53,"M",1.04,"M",10.8,2.1,50900000,49530000,1040000
"174","APTV",270.46,"M",268.48,"M",2.9,"M",-9,1.08,270460000,268480000,2900000
"175","APTV.PRA",11.5,"M",NA,NA,29080,NA,245.16,NA,11500000,NA,29080
"176","AQN",611.84,"M",609.96,"M",6.69,"M",3.99,1.1,611840000,609960000,6690000
"177","AQNA",NA,NA,NA,NA,5986,NA,-52.23,NA,NA,NA,5986
"178","AQNB",NA,NA,NA,NA,3937,NA,173.02,NA,NA,NA,3937
"179","AQUA",119.9,"M",116.97,"M",2.63,"M",-0.95,2.24,119900000,116970000,2630000
"180","AR",301.9,"M",261.25,"M",23.75,"M",-16.28,9.09,301900000,261250000,23750000
"181","ARC",42.71,"M",34.77,"M",268395,NA,-17.29,0.77,42710000,34770000,268395
"182","ARCH",15.29,"M",14.98,"M",2.89,"M",5.02,19.29,15290000,14980000,2890000
"183","ARCO",127.27,"M",127.27,"M",1.5,"M",45.87,1.18,127270000,127270000,1500000
"184","ARD",18.67,"M",NA,NA,181275,NA,-46.02,NA,18670000,NA,181275
"185","ARE",147.5,"M",145.78,"M",2.26,"M",-7.26,1.55,147500000,145780000,2260000
"186","ARES",149.85,"M",118.68,"M",2.01,"M",71.27,1.69,149850000,118680000,2010000
"187","ARES.PRA",NA,NA,NA,NA,5589,NA,-37.91,NA,NA,NA,5589
"188","ARGD",NA,NA,NA,NA,869,NA,-3.55,NA,NA,NA,869
"189","ARGO",34.8,"M",34.39,"M",394987,NA,7.62,1.15,34800000,34390000,394987
"190","ARGO.PRA",6,"M",NA,NA,10477,NA,70.33,NA,6e+06,NA,10477
"191","ARI",139.88,"M",138.19,"M",2.06,"M",-25,1.49,139880000,138190000,2060000
"192","ARL",16.15,"M",925736,NA,73244,NA,8.46,7.91,16150000,925736,73244
"193","ARLO",81.28,"M",78.16,"M",4.89,"M",12.52,6.25,81280000,78160000,4890000
"194","ARMK",254.94,"M",253.48,"M",8.72,"M",-6.7,3.44,254940000,253480000,8720000
"195","ARNC",110.03,"M",108.59,"M",4.11,"M",-5.63,3.78,110030000,108590000,4110000
"196","AROC",154.05,"M",133.26,"M",4.54,"M",-6.54,3.41,154050000,133260000,4540000
"197","ARR",71.24,"M",70.09,"M",4.23,"M",-3.42,6.03,71240000,70090000,4230000
"198","ARR.PRC",5.78,"M",NA,NA,4378,NA,56.3,NA,5780000,NA,4378
"199","ARW",74.17,"M",73.79,"M",1.7,"M",6.43,2.31,74170000,73790000,1700000
"200","ASAN",91.68,"M",68.89,"M",6.1,"M",19.16,8.86,91680000,68890000,6100000
"201","ASAQ",25,"M",25,"M",4388,NA,-89.99,0.02,2.5e+07,2.5e+07,4388
"202","ASB",152.81,"M",148.87,"M",3.36,"M",5.59,2.26,152810000,148870000,3360000
"203","ASB.PRC",NA,NA,NA,NA,371,NA,-93.23,NA,NA,NA,371
"204","ASB.PRD",3.98,"M",NA,NA,603,NA,-52.1,NA,3980000,NA,603
"205","ASB.PRE",NA,NA,NA,NA,1804,NA,73.29,NA,NA,NA,1804
"206","ASB.PRF",4,"M",NA,NA,32767,NA,-21.28,NA,4e+06,NA,32767
"207","ASC",33.34,"M",33.27,"M",1.31,"M",21.42,3.93,33340000,33270000,1310000
"208","ASGN",53.2,"M",51.48,"M",781038,NA,0.14,1.52,53200000,51480000,781038
"209","ASH",60.71,"M",60.36,"M",1.84,"M",-6.04,3.05,60710000,60360000,1840000
"210","ASIX",28.05,"M",27.14,"M",649344,NA,9.87,2.39,28050000,27140000,649344
"211","ASPL",23.97,"M",23.97,"M",2.73,"M",196.16,11.39,23970000,23970000,2730000
"212","ASPN",28.35,"M",26.99,"M",957705,NA,8.18,3.55,28350000,26990000,957705
"213","ASR",NA,NA,27.59,"M",165159,NA,-15.29,0.6,NA,27590000,165159
"214","ASX",2.19,"B",NA,NA,6.66,"M",0.75,NA,2.19e+09,NA,6660000
"215","ATA",14.5,"M",11.62,"M",1211,NA,-90.39,0.01,14500000,11620000,1211
"216","ATCO",215.65,"M",86.91,"M",6.08,"M",3.82,6.99,215650000,86910000,6080000
"217","ATCO.PRD",NA,NA,NA,NA,2740,NA,94.74,NA,NA,NA,2740
"218","ATCO.PRE",5.42,"M",NA,NA,4283,NA,315.42,NA,5420000,NA,4283
"219","ATCO.PRG",NA,NA,NA,NA,1515,NA,-86.96,NA,NA,NA,1515
"220","ATCO.PRH",NA,NA,NA,NA,2403,NA,76.95,NA,NA,NA,2403
"221","ATCO.PRI",NA,NA,NA,NA,20436,NA,23.88,NA,NA,NA,20436
"222","ATEN",77.1,"M",63.35,"M",2.69,"M",5.38,4.25,77100000,63350000,2690000
"223","ATGE",50.15,"M",48.25,"M",1.68,"M",44.55,3.49,50150000,48250000,1680000
"224","ATH",191.74,"M",131.01,"M",8.79,"M",0.47,6.71,191740000,131010000,8790000
"225","ATH.PRA",34.5,"M",NA,NA,36338,NA,-7.04,NA,34500000,NA,36338
"226","ATH.PRB",NA,NA,NA,NA,4706,NA,-14.68,NA,NA,NA,4706
"227","ATH.PRC",24,"M",NA,NA,55330,NA,22.29,NA,2.4e+07,NA,55330
"228","ATH.PRD",23,"M",NA,NA,20558,NA,89.28,NA,2.3e+07,NA,20558
"229","ATHM",127.35,"M",NA,NA,2.44,"M",9.2,NA,127350000,NA,2440000
"230","ATI",127.2,"M",125.47,"M",14.77,"M",-0.19,11.78,127200000,125470000,14770000
"231","ATKR",46.98,"M",46.47,"M",922710,NA,5.93,1.99,46980000,46470000,922710
"232","ATO",130.67,"M",129.58,"M",1.72,"M",6.61,1.33,130670000,129580000,1720000
"233","ATR",65.71,"M",65.29,"M",557999,NA,6.13,0.85,65710000,65290000,557999
"234","ATTO",15,"M",14.62,"M",10009,NA,1.3,0.07,1.5e+07,14620000,10009
"235","ATUS",290.57,"M",216.74,"M",43.61,"M",6.39,20.12,290570000,216740000,43610000
"236","AU",417.33,"M",417.31,"M",4.88,"M",29.87,1.17,417330000,417310000,4880000
"237","AUY",965.69,"M",960.75,"M",9.5,"M",24.21,0.99,965690000,960750000,9500000
"238","AVA",69.31,"M",68.56,"M",2.96,"M",-0.24,4.32,69310000,68560000,2960000
"239","AVAL",357.49,"M",NA,NA,119010,NA,-47.92,NA,357490000,NA,119010
"240","AVAN",60,"M",59.29,"M",31189,NA,59.9,0.05,6e+07,59290000,31189
"241","AVB",139.6,"M",138.16,"M",2.24,"M",10.8,1.62,139600000,138160000,2240000
"242","AVD",30.83,"M",26.86,"M",360182,NA,16.55,1.34,30830000,26860000,360182
"243","AVLR",85.97,"M",83.31,"M",3.31,"M",55.88,3.98,85970000,83310000,3310000
"244","AVNS",48.07,"M",47.24,"M",973903,NA,-23.37,2.06,48070000,47240000,973903
"245","AVNT",91.3,"M",90.19,"M",1.05,"M",-17.7,1.16,91300000,90190000,1050000
"246","AVTR",582.14,"M",554.77,"M",17.18,"M",-4.4,3.1,582140000,554770000,17180000
"247","AVTR.PRA",NA,NA,NA,NA,21725,NA,-13.57,NA,NA,NA,21725
"248","AVY",83.01,"M",82.48,"M",607548,NA,-26.44,0.74,83010000,82480000,607548
"249","AVYA",84.57,"M",83.06,"M",12.16,"M",6.89,14.64,84570000,83060000,12160000
"250","AWI",47.89,"M",47.25,"M",1.38,"M",6.48,2.91,47890000,47250000,1380000
"251","AWK",181.47,"M",180.91,"M",2.11,"M",57.03,1.16,181470000,180910000,2110000
"252","AWR",36.91,"M",36.47,"M",731406,NA,-4.64,2.01,36910000,36470000,731406
"253","AX",59.24,"M",53,"M",1.69,"M",-0.48,3.18,59240000,5.3e+07,1690000
"254","AXL",113.99,"M",109.45,"M",6.46,"M",5.93,5.9,113990000,109450000,6460000
"255","AXP",803.42,"M",802.47,"M",6.75,"M",1.01,0.84,803420000,802470000,6750000
"256","AXR",7.32,"M",2.31,"M",15229,NA,-8.9,0.66,7320000,2310000,15229
"257","AXS",84.76,"M",77.15,"M",840756,NA,-2.92,1.09,84760000,77150000,840756
"258","AXS.PRE",NA,NA,NA,NA,8939,NA,40.99,NA,NA,NA,8939
"259","AXTA",232.95,"M",232.47,"M",7.3,"M",22.67,3.14,232950000,232470000,7300000
"260","AYI",35.71,"M",35.18,"M",2.72,"M",-11.04,7.72,35710000,35180000,2720000
"261","AYX",59.22,"M",58.05,"M",4.07,"M",-6.08,7.01,59220000,58050000,4070000
"262","AZEK",154.74,"M",149.43,"M",1.82,"M",8.61,1.22,154740000,149430000,1820000
"263","AZO",21.62,"M",21.53,"M",331769,NA,-15.91,1.54,21620000,21530000,331769
"264","AZRE",48.17,"M",36.01,"M",1.13,"M",32.55,3.13,48170000,36010000,1130000
"265","AZUL",111.18,"M",NA,NA,10.55,"M",4.15,NA,111180000,NA,10550000
"266","AZZ",25.36,"M",24.51,"M",311059,NA,20.17,1.27,25360000,24510000,311059
"267","B",50.65,"M",46.18,"M",476904,NA,-9.43,1.03,50650000,46180000,476904
"268","BA",584.81,"M",584.06,"M",9.99,"M",-5.92,1.71,584810000,584060000,9990000
"269","BABA",2.71,"B",2.7,"B",43.44,"M",-0.74,1.61,2.71e+09,2.7e+09,43440000
"270","BAC",8.57,"B",NA,NA,90.25,"M",12.32,NA,8.57e+09,NA,90250000
"271","BAC.PRB",NA,NA,NA,NA,181899,NA,-20.11,NA,NA,NA,181899
"272","BAC.PRE",NA,NA,NA,NA,221494,NA,1.36,NA,NA,NA,221494
"273","BAC.PRK",NA,NA,NA,NA,82124,NA,-8.99,NA,NA,NA,82124
"274","BAC.PRL",NA,NA,NA,NA,1757,NA,118.26,NA,NA,NA,1757
"275","BAC.PRM",NA,NA,NA,NA,37429,NA,-46.85,NA,NA,NA,37429
"276","BAC.PRN",NA,NA,NA,NA,155478,NA,139.38,NA,NA,NA,155478
"277","BAC.PRO",44,"M",NA,NA,325216,NA,-16.76,NA,4.4e+07,NA,325216
"278","BAH",135.41,"M",132.6,"M",1.6,"M",-13.42,1.2,135410000,132600000,1600000
"279","BAK",172.52,"M",NA,NA,254287,NA,26.4,NA,172520000,NA,254287
"280","BALY",44.54,"M",25.29,"M",2.26,"M",9.79,8.93,44540000,25290000,2260000
"281","BAM",1.58,"B",1.47,"B",16.97,"M",0.73,1.16,1.58e+09,1.47e+09,16970000
"282","BAMH",16,"M",NA,NA,15725,NA,-27.89,NA,1.6e+07,NA,15725
"283","BAMI",9.2,"M",NA,NA,3958,NA,-84.01,NA,9200000,NA,3958
"284","BANC",50.17,"M",47.98,"M",1.86,"M",22.74,3.88,50170000,47980000,1860000
"285","BANC.PRE",3.95,"M",NA,NA,78,NA,-53.57,NA,3950000,NA,78
"286","BAP",79.76,"M",50.8,"M",1.15,"M",55.48,2.26,79760000,50800000,1150000
"287","BAX",502.85,"M",501.82,"M",9.27,"M",0.62,1.85,502850000,501820000,9270000
"288","BB",566.22,"M",557.79,"M",50.23,"M",3.61,9,566220000,557790000,50230000
"289","BBAR",NA,NA,NA,NA,1.21,"M",-3.68,NA,NA,NA,1210000
"290","BBD",4.85,"B",4.85,"B",36.38,"M",-7.16,0.75,4.85e+09,4.85e+09,36380000
"291","BBDC",65.32,"M",64.72,"M",381684,NA,106.42,0.59,65320000,64720000,381684
"292","BBDO",4.87,"B",NA,NA,136255,NA,11.24,NA,4.87e+09,NA,136255
