"","Ticker","Short_Interest_Jan","Short_Interest_Feb"
"1","PUBM",63.2558139534884,80.4255319148936
"2","ROOT",35.1383874849579,54.5628589661774
"3","KMPH",9.23506787330317,54.4811320754717
"4","ASO",44.7911665866539,41.1783644558918
"5","CGIX",1.91008021390374,40.4929577464789
"6","GOGO",43.9446366782007,40.0494437577256
"7","RKT",40.7208439148271,39.7325956662056
"8","CLVS",42.1322757494459,38.5387488328665
"9","TRIT",29.8064516129032,38.0645161290323
"10","ESPR",41.1284335560505,35.5282738095238
"11","GSX",50.3187684652465,34.1914910165669
"12","OTRK",42.6450742240216,34.0080971659919
"13","ISUN",26.1910628019324,33.4335220125786
"14","SKT",52.4184601730641,32.9855715871254
"15","MCS",26.2872628726287,32.3732718894009
"16","HUYA",36.8563685636856,30.7265453606917
"17","ZYXI",32.1134020618557,30.5584281282316
"18","NGM",9.69529085872576,30.278232405892
"19","GME",120.101088646967,30.2257294916498
"20","THMO",18.6003683241252,30.0184162062615
"21","AXDX",44.9411764705882,29.9468583932479
"22","FUTU",25.712455971822,29.6266751754946
"23","AMCX",57.9318013343217,29.4203961848863
"24","MDGL",28.4158415841584,28.6157024793388
"25","CYCC",19.291746031746,28.6111111111111
"26","REV",30.3964757709251,28.4875183553598
"27","DISCA",37.5736007764478,28.2619808306709
"28","BLNK",26.1748958953004,28.1670403587444
"29","NNDM",36.1503367369107,27.7427764501412
"30","GDRX",35.9730412805392,27.6712328767123
"31","PGEN",34.8314606741573,27.2116461366181
"32","JE",11.3381093394077,26.879271070615
"33","CRBP",19.6778881085008,26.8103657059821
"34","LCI",24.8726114649682,25.9603072983355
"35","SPWR",57.4888779041028,25.8692971639951
"36","MAC",56.9171679107182,25.6231801718628
"37","CVNA",26.3580607476636,25.3210741389375
"38","VXRT",30.5627068775285,25.2942258183156
"39","SDC",29.4233504759821,25.240210765575
"40","SRNE",31.0440528634361,25.0948636701483
"41","TR",45.9342023587834,24.5810055865922
"42","CLR",27.0304568527919,24.5264847512039
"43","KPTI",24.6925112875603,24.3577839678118
"44","FLWS",27.9514527399779,24.2479159115622
"45","OPK",25.8870330104764,24.0758129880399
"46","FBRX",22.8008724832215,24.0462162162162
"47","CARV",6.00092558431555,23.9012639405204
"48","BFI",15.9011662531017,23.4112158808933
"49","BTAI",25.0170415814588,23.1367465975373
"50","HPR",25.5071363636364,23.0689592760181
"51","BBBY",65.4861839804127,23.0014025245442
"52","TRHC",27.9944928866453,22.7988878591288
"53","UNFI",25.5686988171065,22.6751592356688
"54","NVIV",8.65921787709497,22.6373626373626
"55","BYND",42.9008057793832,22.534435261708
"56","RUBY",24.5775729646697,22.4749772520473
"57","VIVE",9.95334242837654,22.4324324324324
"58","WOOF",0.0470380253502335,22.083409884255
"59","IRBT",38.4615384615385,21.9600725952813
"60","ICPT",25.7411424439624,21.959213401311
"61","ARCH",19.8657718120805,21.9479653102068
"62","VTVT",22.608024691358,21.8104062722737
"63","HRTX",19.6048128932553,21.7669795692987
"64","DGLY",15.5294117647059,21.6871967151922
"65","OMER",20.9704784526637,21.6564833672777
"66","CRSR",33.5581787521079,21.6291024120206
"67","DVAX",23.8922764227642,21.548308442548
"68","CNK",29.7046843177189,21.4326592903472
"69","KBNT",4.95232715008432,21.4
"70","ESGC",17.6263678999479,21.1755392835939
